chavezcandanga,chavez,1.0
chavez,chavez,1.0
psuv,chavez,1.0
gpp,chavez,1.0
elmundoconchavez,chavez,1.0
capriles,capriles,1.0
hcapriles,capriles,1.0
mud,capriles,1.0
hayuncamino,capriles,1.0
